participant_id,num_images,evaluations,cognitive_status,notes
2,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
3,2,"[np.int64(1), np.int64(2)]",,
4,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
5,2,"[np.int64(2), np.int64(3)]",,
7,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
8,4,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4)]",,
9,1,[np.int64(1)],,
10,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
12,1,[np.int64(1)],,
13,1,[np.int64(1)],,
15,3,"[np.int64(1), np.int64(3), np.int64(4)]",,
16,2,"[np.int64(2), np.int64(3)]",,
17,1,[np.int64(2)],,
18,2,"[np.int64(1), np.int64(3)]",,
19,2,"[np.int64(2), np.int64(3)]",,
20,1,[np.int64(1)],,
21,2,"[np.int64(1), np.int64(2)]",,
22,1,[np.int64(1)],,
23,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
24,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
25,2,"[np.int64(2), np.int64(3)]",,
26,2,"[np.int64(1), np.int64(3)]",,
27,2,"[np.int64(1), np.int64(2)]",,
28,2,"[np.int64(1), np.int64(3)]",,
29,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
30,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
31,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
32,1,[np.int64(1)],,
33,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
34,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
35,1,[np.int64(1)],,
36,1,[np.int64(1)],,
37,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
38,1,[np.int64(1)],,
39,2,"[np.int64(1), np.int64(2)]",,
40,2,"[np.int64(1), np.int64(2)]",,
41,2,"[np.int64(1), np.int64(2)]",,
42,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
101,2,"[np.int64(2), np.int64(3)]",,
102,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
103,2,"[np.int64(2), np.int64(3)]",,
